Bag,Pseudospecies,Site,Lighting
D,Round_abdomens,60,UL
D,Round_abdomens,57,UL
D,Round_abdomens,58,L
D,Round_abdomens,60,UL
D,Round_abdomens,61,UL
D,Round_abdomens,69,UL
D,Round_abdomens,58,UL
D,Round_abdomens,57,L
D,Round_abdomens,58,L
D,Round_abdomens,58,UL
D,Round_abdomens,71,UL
D,Tiny_raisins,70,L
D,Tiny_raisins,57,L
D,Tiny_raisins,70,L
D,Tiny_raisins,61,L
D,Tiny_raisins,61,L
D,Tiny_raisins,59,L
D,Tiny_raisins,70,L
D,Tiny_raisins,71,UL
D,Tiny_raisins,70,UL
D,Tiny_raisins,71,UL
D,Tiny_raisins,70,L
D,Tiny_raisins,61,UL
D,Tiny_raisins,71,UL
D,Tiny_raisins,60,UL
D,Tiny_raisins,70,L
D,Tiny_raisins,71,UL
D,Tiny_raisins,70,UL
D,Tiny_raisins,70,L
D,Tiny_raisins,61,L
D,Tiny_raisins,61,L
D,Tiny_raisins,63,L
D,Tiny_raisins,61,UL
D,Tiny_raisins,69,UL
D,Tiny_raisins,69,UL
D,Tiny_raisins,57,UL
D,Brown_raisins,63,UL
D,Brown_raisins,70,L
D,Brown_raisins,70,UL
D,Brown_raisins,63,UL
D,Brown_raisins,69,L
D,Brown_raisins,58,UL
D,Brown_raisins,57,UL
D,Brown_raisins,59,UL
D,Brown_raisins,70,UL
D,Brown_raisins,69,L
D,Brown_raisins,63,L
D,Brown_raisins,59,UL
D,Brown_raisins,58,UL
D,Brown_raisins,66,UL
D,Brown_raisins,58,L
D,Brown_raisins,60,UL
D,Brown_raisins,63,L
D,Brown_raisins,58,L
D,Brown_raisins,61,L
D,Brown_raisins,70,L
D,Brown_raisins,58,L
D,Brown_raisins,57,L
D,Brown_raisins,58,L
D,Brown_raisins,57,L
D,Brown_raisins,58,L
D,Brown_raisins,60,L
D,Raisins,60,UL
D,Raisins,63,UL
D,Raisins,59,L
D,Raisins,63,L
D,Stripehead,57,UL
D,Stripehead,58,L
D,Stripehead,59,UL
D,Stripehead,63,L
D,Stripehead,58,UL
D,Brown_straw,61,L
D,Brown_straw,63,UL
D,Brown_straw,69,L
D,Brown_straw,60,L
D,Brown_straw,69,L
D,Brown_straw,63,UL
D,Brown_straw,67,UL
D,Brown_straw,60,UL
D,Brown_straw,58,L
D,Brown_straw,60,UL
D,Brown_straw,58,UL
D,Brown_straw,63,UL
D,Brown_straw,61,L
D,Brown_straw,69,UL
D,Brown_straw,60,UL
D,Brown_straw,61,UL
D,Brown_straw,61,UL
D,Straws,63,UL
D,Straws,58,L
D,Straws,58,UL
D,Straws,58,UL
D,Straws,61,UL
D,Giant_stripes,57,UL
D,Giant_stripes,60,UL
D,Giant_stripes,57,UL
D,Giant_stripes,57,UL
D,Giant_stripes,58,L
D,Giant_stripes,63,L
D,Giant_stripes,60,UL
D,Giant_stripes,60,L
D,Giant_stripes,61,UL
D,Giant_stripes,71,UL
D,Giant_stripes,60,L
D,Giant_stripes,60,UL
D,Giant_stripes,71,L
D,Giant_stripes,60,UL
D,Giant_stripes,60,L
D,Giant_stripes,60,L
D,Giant_stripes,63,UL
D,Giant_stripes,60,UL
D,Giant_stripes,37,UL
D,Giant_stripes,60,L
D,Giant_stripes,58,UL
D,Giant_stripes,59,UL
D,Giant_stripes,60,UL
D,Giant_stripes,60,UL
D,Giant_stripes,71,UL
D,Giant_stripes,60,L
D,Giant_stripes,60,UL
D,Giant_stripes,50,UL
D,Giant_stripes,60,L
D,Giant_stripes,70,L
D,Giant_stripes,60,UL
D,Giant_stripes,71,UL
D,Rare_non_classified,66,UL
D,Rare_non_classified,63,L
D,Rare_non_classified,58,UL
D,Rare_non_classified,71,L
D,Rare_non_classified,61,L
D,Rare_non_classified,59,UL
D,Rare_non_classified,60,L
D,Rare_non_classified,60,L
D,Rare_non_classified,60,UL
D,Rare_non_classified,58,UL
