Bag,Reference,VisitNum,Site,SiteName,Date,Treatment,SiteLampType,MeanLux,Time,MinsPastSunset,Temp,TransectSteps,SpiderCount
c,45 L,45,247,Haddenham,06/04/2019,Lit,LED,2.08,21:44:00,118,9,25,4
c,45 UL,45,247,Haddenham,06/04/2019,Unlit,LED,0.1,21:48:00,122,9,25,7
c,46 L,46,241,A4146 Linslade,06/04/2019,Lit,LED,2.1,22:30:00,164,8,25,2
c,46 UL,46,241,A4146 Linslade,06/04/2019,Unlit,LED,0.1,22:45:00,179,9,25,3
c,47 UL,47,156,Heyford Leys,06/04/2019,Unlit,LPS,0.1,23:50:00,244,8,35,13
c,47 L,47,156,Heyford Leys,06/04/2019,Lit,LPS,1.2,00:05:00,259,8,35,2
c,48 UL,48,149,Tackley 2,06/04/2019,Unlit,LED,0.1,00:30:00,284,9,35,6
c,48 L,48,149,Tackley 2,06/04/2019,Lit,LED,1.7,00:38:00,292,9,35,3
c,49 UL,49,171,Brize Norton,06/04/2019,Unlit,HPS,0.1,01:25:00,339,9,25,2
c,49 L,49,171,Brize Norton,06/04/2019,Lit,HPS,0.62,01:30:00,344,9,25,2
,51 UL,51,139,Seacourt R'bout,06/04/2019,Unlit,HPS,0.1,02:04:00,378,9,25,0
,51 L,51,139,Seacourt R'bout,06/04/2019,Lit,HPS,1.86,02:10:00,404,8,25,0
c,52 UL,52,134,Abingdon,06/04/2019,Unlit,HPS,0.1,02:50:00,434,8,25,4
c,52 L,52,134,Abingdon,06/04/2019,Lit,HPS,1.28,03:05:00,449,8,25,0
c,53 L,53,143,Watchfield Jct,06/04/2019,Lit,HPS,2.76,03:35:00,479,7,30,0
c,53 UL,53,143,Watchfield Jct,06/04/2019,Unlit,HPS,0.1,03:45:00,489,6,30,3
,54 UL,54,16,Uffington,06/04/2019,Unlit,HPS,0.1,04:05:00,509,6,25,0
,54 L,54,16,Uffington,06/04/2019,Lit,HPS,0.24,04:10:00,514,6,25,0
c,55 LPS,55,161,Upper Edington,06/04/2019,Lit,LPS,0.18,04:40:00,444,8,25,0
c,55 UL,55,161,Upper Edington,06/04/2019,Unlit,LED,0.1,04:45:00,454,8,25,2
c,55 LED,55,161,Upper Edington,06/04/2019,Lit,LED,0.66,04:50:00,459,8,25,0
,56 UL,56,163,Speen,06/04/2019,Unlit,LED,0.1,05:00:00,469,9,25,0
,56 L,56,163,Speen,06/04/2019,Lit,LED,0.36,05:05:00,474,9,25,0
d,57 L,57,113,Chargrove Jct,18/04/2019,Lit,HPS,7.14,22:42:00,156,10,25,5
d,57 UL,57,113,Chargrove Jct,18/04/2019,Unlit,HPS,0.1,22:52:00,166,10,25,8
d,58 L,58,107,Crowmarsh R'bout,18/04/2019,Lit,HPS,5.26,00:39:00,213,9,25,11
d,58 UL,58,107,Crowmarsh R'bout,18/04/2019,Unlit,HPS,0.1,00:48:00,222,9,25,11
d,59 L,59,107,Crowmarsh R'bout,22/04/2019,Lit,HPS,5.26,21:30:00,77,17,25,3
d,59 UL,59,107,Crowmarsh R'bout,22/04/2019,Unlit,HPS,0.1,21:40:00,87,17,25,7
d,60 L,60,129,Little Baldon R'bout,22/04/2019,Lit,LED,6.32,22:00:00,107,17,25,11
d,60 UL,60,129,Little Baldon R'bout,22/04/2019,Unlit,LED,0.1,22:10:00,117,17,25,19
d,61 UL,61,139,Seacourt R'bout,22/04/2019,Unlit,HPS,0.1,22:30:00,137,16,25,9
d,61 L,61,139,Seacourt R'bout,22/04/2019,Lit,HPS,1.86,22:45:00,152,16,25,8
d,63 UL,63,241,A4146 Linslade,22/04/2019,Unlit,LED,0.1,02:17:00,364,11,25,8
d,63 L,63,241,A4146 Linslade,22/04/2019,Lit,LED,2.1,02:34:00,380,11,25,7
d,66 UL,66,171,Brize Norton,24/04/2019,Unlit,HPS,0.1,02:15:00,360,10,25,2
d,66 L,66,171,Brize Norton,24/04/2019,Lit,HPS,0.62,02:20:00,365,10,25,0
d,69 L,69,134,Abingdon,24/04/2019,Lit,HPS,1.28,04:20:00,485,10,25,4
d,69 UL,69,134,Abingdon,24/04/2019,Unlit,HPS,0.1,04:25:00,490,10,25,4
d,70 L,70,107,Crowmarsh R'bout,25/04/2019,Lit,HPS,5.26,22:15:00,117,9,25,9
d,70 UL,70,107,Crowmarsh R'bout,25/04/2019,Unlit,HPS,0.1,22:30:00,132,9,25,4
d,71 L,71,129,Little Baldon R'bout,25/04/2019,Lit,LED,6.32,23:00:00,162,8,25,2
d,71 UL,71,129,Little Baldon R'bout,25/04/2019,Unlit,LED,0.1,23:15:00,177,8,25,9
